DATE,DTB3
1989-04-01,8.4031250000000000
1989-07-01,7.8469841269841270
1989-10-01,7.6514516129032258
1990-01-01,7.7635483870967742
1990-04-01,7.7466666666666667
1990-07-01,7.4771428571428571
1990-10-01,6.9948387096774194
1991-01-01,6.0286666666666667
1991-04-01,5.5603125000000000
1991-07-01,5.3793750000000000
1991-10-01,4.5490322580645161
1992-01-01,3.8988709677419355
1992-04-01,3.6798412698412698
1992-07-01,3.0835937500000000
1992-10-01,3.0701612903225806
1993-01-01,2.9600000000000000
1993-04-01,2.9676190476190476
1993-07-01,3.0012500000000000
1993-10-01,3.0593548387096774
1994-01-01,3.2564516129032258
1994-04-01,3.9990322580645161
1994-07-01,4.4804687500000000
1994-10-01,5.2822950819672131
1995-01-01,5.7353225806451613
1995-04-01,5.5942857142857143
1995-07-01,5.3677777777777778
1995-10-01,5.2612903225806452
1996-01-01,4.9301612903225806
1996-04-01,5.0181250000000000
1996-07-01,5.0964062500000000
1996-10-01,4.9735483870967742
1997-01-01,5.0616666666666667
1997-04-01,5.0489062500000000
1997-07-01,5.0490625000000000
1997-10-01,5.0895161290322581
1998-01-01,5.0503278688524590
1998-04-01,4.9741269841269841
1998-07-01,4.8262500000000000
1998-10-01,4.2527419354838710
1999-01-01,4.4072131147540984
1999-04-01,4.4501562500000000
1999-07-01,4.6506250000000000
1999-10-01,5.0475806451612903
2000-01-01,5.5287301587301587
2000-04-01,5.7144444444444444
2000-07-01,6.0193650793650794
2000-10-01,6.0198387096774194
2001-01-01,4.8088709677419355
2001-04-01,3.6553968253968254
2001-07-01,3.2118032786885246
2001-10-01,1.9141935483870968
2002-01-01,1.7206666666666667
2002-04-01,1.7139062500000000
2002-07-01,1.6431250000000000
2002-10-01,1.3425806451612903
2003-01-01,1.1547540983606557
2003-04-01,1.0392063492063492
2003-07-01,0.92828125000000000000
2003-10-01,0.91564516129032258065
2004-01-01,0.91612903225806451613
2004-04-01,1.0788709677419355
2004-07-01,1.4882812500000000
2004-10-01,2.0116129032258065
2005-01-01,2.5436065573770492
2005-04-01,2.8667187500000000
2005-07-01,3.3634375000000000
2005-10-01,3.8262295081967213
2006-01-01,4.3988709677419355
2006-04-01,4.7082539682539683
2006-07-01,4.9068253968253968
2006-10-01,4.9035483870967742
2007-01-01,4.9782258064516129
2007-04-01,4.7375000000000000
2007-07-01,4.3149206349206349
2007-10-01,3.4058064516129032
2008-01-01,2.0583606557377049
2008-04-01,1.6226562500000000
2008-07-01,1.4960937500000000
2008-10-01,0.30709677419354838710
2009-01-01,0.21180327868852459016
2009-04-01,0.17031746031746031746
2009-07-01,0.15984375000000000000
2009-10-01,0.06048387096774193548
2010-01-01,0.10983606557377049180
2010-04-01,0.14828125000000000000
2010-07-01,0.15484375000000000000
2010-10-01,0.13951612903225806452
2011-01-01,0.12677419354838709677
2011-04-01,0.04523809523809523810
2011-07-01,0.02500000000000000000
2011-10-01,0.01475409836065573770
2012-01-01,0.07064516129032258065
2012-04-01,0.08828125000000000000
2012-07-01,0.10158730158730158730
